PHI1004;Những nguyên lý cơ bản của chủ nghĩa Mác – Lênin 1;Principles of Marxism – Leninism 1;2;21;5;4;
PHI1005;Những nguyên lý cơ bản của chủ nghĩa Mác – Lênin 2;Principles of Marxism – Leninism 2;3;32;8;5;PHI1004
POL1001;Tư tưởng Hồ Chí Minh;Ho Chi Minh Ideology;2;20;8;2;PHI1005
HIS1002;Đường lối cách mạng của Đảng Cộng sản Việt Nam;Revolutionary Lines of Vietnam Communist Party;3;35;7;3;POL1001
INT1003;Tin học cơ sở 1;Informatics Fundamentals 1;2;10;20;;
INT1006;Tin học cơ sở 4;Informatics Fundamentals 4;3;20;23;2;INT1003
FLF2101;Tiếng Anh cơ sở 1;General English 1;4;16;40;4;
FLF2102;Tiếng Anh cơ sở 2;General  English 2;5;20;50;5;FLF2101
FLF2103;Tiếng Anh cơ sở 3;General  English 3;5;20;50;5;FLF2102
FLF2104;Tiếng Anh cơ sở 4;General  English 4;5;20;50;5;FLF2103
FLF2105;Tiếng Anh cơ sở 5;General  English 5;5;20;50;5;FLF2104
CME1001;Đường lối quân sự của Đảng;National Defence Education 1;3;44;;1;
CME1002;Công tác quốc phòng an ninh;National Defence Education 2;2;27;;3;
CME1003;quân sự chung và kĩ thuật bắn súng tiểu liên AK;National Defence Education 3;3;30;15;;
PES1003;Lý luận giáo dục thể chất và các môn thể thao cơ bản;Physical Education and Sport Theory;1;;;;
PES1005;Thể dục nhịp điệu 1;Aerobic 1;1;;;;
PES1006;Thể dục nhịp điệu 2;Aerobic 2;1;;;;PES1005
PES1007;Thể dục nhịp điệu 3;Aerobic 3;1;;;;PES1006
PES1020;bóng rổ 1;Basketball 1;1;;;;
PES1021;bóng rổ 2;Basketball 2;1;;;;PES1020
PES1022;bóng rổ 3;Basketball 3;1;;;;PES1021
PES1015;bóng chuyền 1;Volleyball 1;1;;;;
PES1016;bóng chuyền 2;Volleyball 2;1;;;;PES1015
PES1017;bóng chuyền 3;Volleyball 3;1;;;;PES1016
PES1030;Bóng bàn 1;Table  tennis 1;1;;;;
PES1031;Bóng bàn 2;Table  tennis 2;1;;;;PES1030
PES1032;Bóng bàn 3;Table  tennis 3;1;;;;PES1031
PES1025;Bóng đá 1;Football 1;1;;;;
PES1026;Bóng đá 2;Football 2;1;;;;PES1025
PES1027;Bóng đá 3;Football 3;1;;;;PES1026
PES1035;Cầu lông 1;Badminton 1;1;;;;
PES1036;Cầu lông 2;Badminton 2;1;;;;PES1035
PES1037;Cầu lông 3;Badminton 3;1;;;;PES1036
PES1050;Teakwondo 1;Taekwondo 1;1;;;;
PES1051;Teakwondo 2;Taekwondo 2;1;;;;PES1050
PES1052;Teakwondo 3;Taekwondo 3;1;;;;PES1051
PES1045;Khiêu vũ 1;Dancing 1;1;;;;
PES1046;Khiêu vũ 2;Dancing 2;1;;;;PES1045
PES1047;Khiêu vũ 3;Dancing 3;1;;;;PES1046
SSA;Kỹ năng bổ trợ;Soft skills;3;;;;
MAT1093;Đại số;Algebra;4;30;30;;
MAT1041;Giải tích 1;Calculus 1;4;30;30;;
MAT1042;Giải tích 2;Calculus 2;4;30;30;;MAT1041
PHY1100;Cơ - Nhiệt;Mechanics and Heat;3;32;10;3;
PHY1103;Điện và Quang;Electricity and Optics;3;32;10;3;PHY1100
ELT2035;Tín hiệu và hệ thống;Signals and systems;3;42;3;;MAT1042
INT2203;Cấu trúc dữ liệu và giải thuật;Data structures and algorithms;3;30;15;;INT1006
MAT1101;Xác suất thống kê;Probability and Statistics ;3;30;15;;MAT1041
ELT2029;Toán trong công nghệ;Mathematics for Engineering;3;45;;;MAT1041
INT2204;Lập trình hướng đối tượng;Object-oriented Programming;3;30;15;;INT1006
INT2205;Kiến trúc máy tính;Computer Architecture;3;45;;;INT1003
INT1050;Toán học rời rạc;Discrete Mathematics;4;45;15;;
INT2206;Nguyên lý hệ điều hành;Principles of operating systems;3;45;;;INT1006
INT2209;Mạng máy tính;Computer Network;3;30;15;;INT1006
INT2208;Công nghệ phần mềm;Software Engineering;3;45;;;INT1006
INT2207;Cơ sở dữ liệu;Database;3;30;15;;INT1006
INT2202;Lập trình nâng cao;Advanced Programming ;3;30;15;;INT1006
INT3401;Trí tuệ nhân tạo;Artificial Intellegence;3;45;;;INT2203
