MAT1099,MAT1100,ELT2028,ELT2031,ELT3044,BSA2022,INE1150,INE1151,JAP2003,INT3117,INT3105,INT3106,INT3108,INT3109,INT3111,INT3115,INT3120,INT3206,INT3207,INT3209,INT3213,INT3216,INT3217,INT2020,INT3301,INT3303,INT3304,INT3305,INT3307,INT3309,INT3310,INT3501,INT3505,INT3506,INT3404,INT3407,INT3412,INT3413,INT3512,INT3513,INT3011,INT3110,INT3222,INT3306,MAT1101,ELT2029,INT3402,INT3405,INT3406,INT3409,INT3411,,
1,Ky su phan mem,2,2,4,4,2,2,2,2,3,4,4,3,2,4,5,2,2,1,1,1,3,3,3,3,2,1,1,1,2,3,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Phat trien phan mem di dong,3,3,4,4,2,4,2,2,1,3,4,4,2,3,4,5,5,1,2,2,1,4,4,1,1,1,1,3,1,1,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Phat trien game,3,3,4,3,1,4,1,1,1,4,3,3,3,3,4,4,5,1,1,1,1,3,3,1,1,1,1,3,1,1,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Thiet ke phat trien Web,3,3,4,3,1,3,2,2,4,2,2,3,3,4,4,4,1,2,2,2,4,3,3,3,1,1,1,3,1,1,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Chuyen gia bao mat CNTT,4,4,2,2,3,1,3,3,1,4,2,3,4,3,1,2,1,4,1,3,5,4,5,3,4,3,4,3,5,3,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Quan tri CNTT,4,4,3,3,2,3,1,1,1,3,4,3,1,3,5,3,4,5,5,3,3,4,5,2,1,1,1,1,1,1,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IT tai chinh ngan hang,3,3,3.33,2.33,1.67,4.33,4,4,4,3,4,3,3.5,4,3.5,1,1,2,3,3,4,4,4.5,4,3,1,2,2,2.5,2,4,3.5,3.67,4,1,0,0,0,3,3,1,3,5,3,2,4,3,3,3,3,3
8,IT chinh phu dien tu,3,3,3.5,2,2,3,3,3,4,2,3,2,2,4,4,4,1.5,3,1,3,2,3,3,4,1,1,1,2,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Thiet ke do hoa,3,3,4,2,2,1,1,1,1,4,4,1,3,4,3,5,4,2,1,1,1,3,2,2,1,1,1,2,1,2,2,1,3,4,4,0,0,0,3,4,2,3,3,3,2,4,2,1,1,1,1
10,Kien truc su he thong,3,3,3.67,4,2.5,1,1,1,1,4,4,2,4,5,2,2,1,4,3,1,3,4,5,5,3,1,3.5,2,4,2,3,3,3.5,3,1,0,0,0,3,3,2,4,5,3,2,4,3,4,3,3,3
11,Khoa hoc du lieu,3.5,4,2.5,2.5,2,1.5,1,1,1,3,3,1,1,1,3,1,1,2,5,5,1,2,4,1,1,1,1,1,1,1,1,2,22,2,3,0,0,0,3,3,1,1,5,3,2,5,4,3,4,4,4
12,Quan ly du an,3,3,5,4,1,4,2,2,3,5,5,4,3,4,5,3,2,1,1,1,1,4,4,3,1,1,1,1,1,1,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Phat trien giao dien nguoi dung,1,1,3,3,1,2,2,2,2,1,2,1,1,4,1,5,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ky su cau noi,3,3,4.25,3.33,1.67,3.67,2,2,5,4.5,4.5,4,2,5,4,3,3.5,1.5,1,2,1,3.5,3,4,2,1,2,1.67,1.5,2,2.5,4,4,4,2,0,0,0,4,4,2,4,3,3,2,2,2,3,2,2,2
15,Quan tri mang,1,1,2,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,5,3,2,4,4,5,4,3,5,4,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
